0000011,上证指数,-,-,-, 1,-,-,-,-,-,-
3990012,深圳指数,-,-,-, 2,-,-,-,-,-,-
3990052,中小板,-,-,-, 3,-,-,-,-,-,-
3990062,创业板,-,-,-, 4,-,-,-,-,-,-
BK06111,上证50_,-,-,-, 5,-,-,-,-,-,-
BK05001,HS300_,-,-,-, 6,-,-,-,-,-,-
BK07011,中证500,-,-,-, 7,-,-,-,-,-,-
BK06121,上证180_,-,-,-, 8,-,-,-,-,-,-
BK07051,上证380,-,-,-, 9,-,-,-,-,-,-
BK07431,深证100R,-,-,-,10,-,-,-,-,-,-
BK05681,深成500,-,-,-,11,-,-,-,-,-,-
1-----,------,-,-,-,12,-,-,-,-,-,-
BK04751,银行,-,-,-,13,-,-,-,-,-,-
BK04741,保险,-,-,-,14,-,-,-,-,-,-
BK04731,券商信托,-,-,-,15,-,-,-,-,-,-
BK04511,房地产,-,-,-,16,-,-,-,-,-,-
BK05051,中字头,-,-,-,17,-,-,-,-,-,-
BK08111,超级品牌,-,-,-,18,-,-,-,-,-,-
BK05921,铁路基建,-,-,-,19,-,-,-,-,-,-
BK06961,国产软件,-,-,-,20,-,-,-,-,-,-
BK06551,网络安全,-,-,-,21,-,-,-,-,-,-
BK05791,云计算,-,-,-,22,-,-,-,-,-,-
BK06341,大数据,-,-,-,23,-,-,-,-,-,-
BK04901,军工,-,-,-,24,-,-,-,-,-,-
2-----,------,-,-,-,25,-,-,-,-,-,-
BK04641,石油行业,-,-,-,26,-,-,-,-,-,-
BK04371,煤炭采选,-,-,-,27,-,-,-,-,-,-
BK04781,有色金属,-,-,-,28,-,-,-,-,-,-
BK07321,贵金属,-,-,-,29,-,-,-,-,-,-
3-----,------,-,-,-,30,-,-,-,-,-,-
BK04381,食品饮料,-,-,-,31,-,-,-,-,-,-
BK04771,酿酒行业,-,-,-,32,-,-,-,-,-,-
BK04561,家电行业,-,-,-,33,-,-,-,-,-,-
BK07271,医疗行业,-,-,-,34,-,-,-,-,-,-
BK04651,医药制造,-,-,-,35,-,-,-,-,-,-
BK04821,商业百货,-,-,-,36,-,-,-,-,-,-
BK04361,纺织服装,-,-,-,37,-,-,-,-,-,-
4-----,------,-,-,-,40,-,-,-,-,-,-
BK04201,民航机场,-,-,-,41,-,-,-,-,-,-
BK04501,港口水运,-,-,-,42,-,-,-,-,-,-
BK04211,高速公路,-,-,-,43,-,-,-,-,-,-
BK04221,交运物流,-,-,-,44,-,-,-,-,-,-
BK04281,电力行业,-,-,-,45,-,-,-,-,-,-
BK04271,公用事业,-,-,-,46,-,-,-,-,-,-
BK07361,电信运营,-,-,-,47,-,-,-,-,-,-
BK07381,多元金融,-,-,-,48,-,-,-,-,-,-
BK04841,国际贸易,-,-,-,49,-,-,-,-,-,-
5-----,------,-,-,-,50,-,-,-,-,-,-
BK07371,软件服务,-,-,-,51,-,-,-,-,-,-
BK04471,电子信息,-,-,-,52,-,-,-,-,-,-
BK04481,通讯行业,-,-,-,53,-,-,-,-,-,-
BK07351,安防设备,-,-,-,54,-,-,-,-,-,-
BK04591,电子元件,-,-,-,55,-,-,-,-,-,-
6-----,------,-,-,-,60,-,-,-,-,-,-
BK04581,仪器仪表,-,-,-,61,-,-,-,-,-,-
BK05451,机械行业,-,-,-,62,-,-,-,-,-,-
BK04251,工程建设,-,-,-,63,-,-,-,-,-,-
BK04801,航天航空,-,-,-,64,-,-,-,-,-,-
BK07291,船舶制造,-,-,-,65,-,-,-,-,-,-
BK04811,汽车行业,-,-,-,66,-,-,-,-,-,-
BK04291,交运设备,-,-,-,67,-,-,-,-,-,-
BK04571,输配电气,-,-,-,68,-,-,-,-,-,-
BK09101,专用设备,-,-,-,69,-,-,-,-,-,-
7-----,------,-,-,-,70,-,-,-,-,-,-
BK05371,材料行业,-,-,-,71,-,-,-,-,-,-
BK04241,水泥建材,-,-,-,72,-,-,-,-,-,-
BK04791,钢铁行业,-,-,-,73,-,-,-,-,-,-
BK07391,金属制品,-,-,-,74,-,-,-,-,-,-
BK05461,玻璃陶瓷,-,-,-,75,-,-,-,-,-,-
BK04541,塑胶制品,-,-,-,76,-,-,-,-,-,-
BK07331,包装材料,-,-,-,77,-,-,-,-,-,-
BK04701,造纸印刷,-,-,-,78,-,-,-,-,-,-
8-----,------,-,-,-,80,-,-,-,-,-,-
BK05381,化工行业,-,-,-,81,-,-,-,-,-,-
BK04711,化纤行业,-,-,-,82,-,-,-,-,-,-
BK07311,化肥行业,-,-,-,83,-,-,-,-,-,-
BK07301,农药兽药,-,-,-,84,-,-,-,-,-,-
BK04331,农牧饲渔,-,-,-,85,-,-,-,-,-,-
BK07261,园林工程,-,-,-,86,-,-,-,-,-,-
BK07281,环保工程,-,-,-,87,-,-,-,-,-,-
BK05391,综合行业,-,-,-,88,-,-,-,-,-,-
9-----,------,-,-,-,90,-,-,-,-,-,-
BK04851,旅游酒店,-,-,-,91,-,-,-,-,-,-
BK04861,文化传媒,-,-,-,92,-,-,-,-,-,-
BK07401,文教休闲,-,-,-,93,-,-,-,-,-,-
BK07251,装修装饰,-,-,-,94,-,-,-,-,-,-
BK04761,木业家具,-,-,-,95,-,-,-,-,-,-
BK07341,珠宝首饰,-,-,-,96,-,-,-,-,-,-
BK04401,工艺商品,-,-,-,97,-,-,-,-,-,-
